name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Asian Mango Chicken Wraps,4 Servings,"['2 ripe mangos (peeled, pitted, and diced)', '1 1/2 cups chopped roasted chicken breast', '2 green onions (sliced)', '2 tablespoons fresh basil (chopped)', '1/2 red bell pepper (chopped)', '1 1/2 cups shredded Savoy or Napa cabbage', '2 medium carrots (grated)', '1/3 cup fat-free cream cheese', '3 tablespoons natural creamy peanut butter (unsalted)', '2 teaspoons low-sodium soy sauce', '4 whole-wheat tortillas (8"")']","['Cut mangos, vegetables, and chicken. Place in a mixing bowl and toss until well mixed.', 'In a small mixing bowl, whisk together cream cheese, peanut butter, and soy sauce.', 'To assemble: lay out tortillas on a flat surface. On each tortilla, spread 1/4 of cream cheese mixture and top with mango, vegetable, and chicken mix. Roll up tightly, tucking in ends of tortilla. Secure with toothpicks.', 'To serve, cut each wrap in half.', 'If not serving immediately, refrigerate; keeps well overnight.']",Sandwiches,440,50 mg,12 g,57 g,9 g,29 g,29 g,250 mg,3 mg,334 mcg RAE,96 mg,0 mcg,105 mcg DFE
Chicken Apple Salad Sandwich,4 Sandwiches,"['1/4 pound cooked, shredded chicken', '1 cup chopped celery (1 stalk)', '1/2 cup chopped apple (1 apple)', '1/3 cup light mayonnaise', '1 lemon, juiced', '1 small box (1 1/2 oz) raisins', '8 slices whole wheat bread', 'chopped walnuts (1 cup, optional)']","['Wash hands with soap and water.', 'Combine all ingredients except for bread together in a bowl.', 'Create 4 sandwiches on whole wheat bread.']",Sandwiches,256,14 mg,7 g,38 g,5 g,12 g,11 g,110 mg,2 mg,10 mcg RAE,6 mg,0 mcg,38 mcg DFE
Chicken Salad and Peach Sandwich,2 Sandwiches,"['4 slices of whole grain bread', '1/2 cup cooked chicken (diced)', '1/2 cup canned peach slices (drained and diced)', '1 celery stalk', '1/2 cup apples (Fuji, Gala, or Braeburn)', '1 small onion', '1 1/2 tablespoons mayonnaise (nonfat)', '1 tablespoon chopped walnut']","['Mix together the chicken, apples, peaches, celery, onion, walnuts, and mayonnaise in a small bowl.', 'Spoon mixture onto 2 slices of the bread.']",Sandwiches,296,34 mg,6 g,44 g,6 g,16 g,18 g,111 mg,2 mg,22 mcg RAE,5 mg,0 mcg,44 mcg DFE
Curried Chickpea Salad,6 Servings,"['2 cans chickpeas, rinsed and drained', '1/2 cup celery, diced', '1/2 cup apple, diced', '1/4 cup red onion, diced', '1/4 cup cranberries, dried', '1/4 cup mayonnaise, low-fat or vegan mayonnaise', '1 teaspoon dijon mustard', '2 teaspoons curry powder', '1/4 teaspoon thyme, dried', '1/8 teaspoon black pepper, ground', 'salt (1/2 teaspoon, optional)']","['Wash hands with soap and water.', 'Add the chickpeas to a large bowl and mash with a potato masher. You can mash them to be as smooth or coarse as you desire.', 'Add all of the remaining ingredients to the bowl and mix until everything is combined.']",Sandwiches,181,,6 g,26 g,7 g,8 g,7 g,59 mg,2 mg,4 mcg RAE,1 mg,,
Egg Salad,4 servings,"['4 hard boiled eggs (finely chopped)', '2 packet of pickle relish (2/3 tablespoon)', '1/2 teaspoon salt', '1 teaspoon mustard (wet)', '1/4 cup mayonnaise']","['Put the eggs in a pan of cold water. Simmer for 20 minutes.', 'Cool promptly in cold water, then in refrigerator, so the eggs will be easy to shell.', 'Remove the shells from eggs, and chop the eggs finely.', 'Mix all the ingredients together.']",Sandwiches,161,169 mg,15 g,1 g,0 g,1 g,6 g,27 mg,1 mg,74 mcg RAE,0 mg,1 mcg,21 mcg DFE
Falafel with Yogurt Sandwich,4 servings,"['1 cup dry garbanzo beans (chick peas, sorted and rinsed)', '3 cups water', '1/4 cup oil', '1 garlic (clove, crushed)', '1 onion (medium, chopped)', '1 teaspoon parsley (1 sprig or about 1 teaspoon, chopped)', '1/4 teaspoon salt', '2 teaspoons lemon juice', '1/3 teaspoon hot pepper sauce', '1 cup plain yogurt (low-fat)', '1 onion (medium, chopped)', '4 whole wheat pita bread (pockets)', 'flour', 'tomatoes, sliced (optional)', 'lettuce (optional)', 'bread crumbs (optional (see note))']","['Put beans and water in large pot and soak by the overnight or quick-soak method.', 'Cook until tender, about 2 hours. Add more water if necessary. Drain.', 'Slowly heat oil and sauté garlic and 1 onion until tender (5 to 7 minutes).', 'Mash cooked beans, sautéed vegetables, parsley, salt, lemon juice and hot pepper sauce until smooth.', 'With floured hands, form ovals with bean mixture (about 1/4 cup each). Roll in flour.', 'Fry falafel, with the remaining oil in skillet, until golden brown. Drain on paper towel.', 'Combine yogurt with remaining onion.', 'Serve falafel in pocket bread topped with yogurt.']",Sandwiches,475,4 mg,19 g,63 g,12 g,12 g,18 g,190 mg,5 mg,11 mcg RAE,7 mg,0 mcg,214 mcg DFE
Fruity Thai Pita Pockets,4 Servings,"['1 can tropical fruit salad in 100% juice (15 ounces)', '4 whole-grain pita pockets', '4 cups fresh spinach (torn)', '1/4 cup fresh cilantro (optional)']","['In a colander over a bowl, drain fruit salad well; reserve 3 tablespoons juice.', 'In a small bowl, whisk together reserved juice, peanut butter, cream cheese, and soy sauce.', 'Place drained fruit, spinach, and cilantro (if desired) in a bowl; mix gently.', 'Add sauce and toss.', 'Slice a small portion off each pita. Tuck the slice inside the bottom of the pita.', 'Fill each pita pocket with the fruit-spinach mixture.', 'Wrap individually in plastic wrap and refrigerate. Will keep well overnight.']",Sandwiches,370,0 mg,17 g,42 g,6 g,13 g,13 g,80 mg,3 mg,161 mcg RAE,54 mg,0 mcg,106 mcg DFE
Grape and Cashew Salad Sandwich,4 Servings,"['3/4 cup dry roasted cashews (unsalted, coarsely chopped)', '1 cup low-fat cottage cheese', '1 1/2 cups red grapes (quartered)', '1 celery stalk (chopped)', 'ground black pepper to taste', '2 tablespoons fresh parsley (chopped)', '8 lettuce leaves', '8 slices whole-grain bread']","['In a medium bowl, mix cottage cheese, grapes, celery, cashews, parsley, and ground black pepper.', 'Toast bread and build sandwiches following steps 3 and 4.', 'Spread 1/4 salad mix on 4 of the bread slices.', 'Add two lettuce leaves to each sandwich; top with 2nd bread slice.']",Sandwiches,380,5 mg,16 g,45 g,6 g,16 g,19 g,150 mg,4 mg,89 mcg RAE,9 mg,0 mcg,80 mcg DFE
Grilled Cheese with Peaches,4 Servings,"['8 slices whole grain bread', '1 15-oz can of peaches, drained', '8 slices low-fat cheddar cheese', '7 1/2 cups spinach', '4 teaspoons vegetable oil']","['Heat the 4 teaspoons of vegetable oil in a large non-stick pan over medium heat.', 'Place 4 slices of whole grain bread in the pan.', 'Layer (in this order) one slice of cheese, a handful of spinach, 4 to 6 peach slices, another slice of cheese, and a slice of bread on top of each original slice of bread.', 'After 4 to 5 minutes, flip each sandwich and cook another 4 to 5 minutes.']",Sandwiches,376,12 mg,11 g,47 g,8 g,17 g,25 g,468 mg,6 mg,727 mcg RAE,40 mg,0 mcg,313 mcg DFE
Peanut Butter and Apple Wraps,2 Servings,"['1 whole wheat tortilla (8 inch)', '1/4 cup peanut butter, reduced-fat', '2 tablespoons granola cereal', '1/2 apple, sliced (suggest Red Delicious apple)']","['1. Lay tortilla flat and spread peanut butter over 2/3 of the tortilla leaving edges at sides\n2. Sprinkle 2 Tablespoons granola over peanut butter.\n3. Cut apple slices into small chunks and place them on top of the granola.\n4. Fold over the edges of the tortilla and roll up ""burrito style""\n5. Eat and Enjoy.']",Sandwiches,295,0 mg,14 g,33 g,5 g,9 g,12 g,25 mg,2 mg,1 mcg RAE,2 mg,0 mcg,41 mcg DFE
